Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
1.25(29)e+03 804.48(75) 3.63(83) 84.1(9.5) 0.6147
7.0(3.3)e+02 830.9(1.2) 3.7(1.5) 69(13) 0.8355
1.5(1.1)e+03 929.1(8.6) 21(12) 55.3(9.0) 0.9884
5.11(23)e+03 2573.49(21) 5.19(23) 36.5(5.0) 0.0751
3.9(2.9)e+03 2599.1(3.9) 21.5(9.6) 14(27) 0.7186
1.43(19)e+03 3184.20(68) 6.11(78) 21.3(4.0) 0.3954
6.1(4.9)e+02 3237.2(2.9) 9.7(5.4) 13.9(9.5) 0.931
1.31(16)e+03 3648.33(72) 6.54(80) 17.8(3.1) 0.4141
2.30(15)e+03 3795.37(32) 5.18(34) 14.4(3.1) 0.1703
3.0(1.2)e+02 4992.7(2.6) 7.1(2.8) 12.5(1.9) 0.9306
1.12(21)e+03 5511.2(1.7) 12.8(2.1) 6.2(2.4) 0.6249
1.86(11)e+03 6290.62(35) 6.14(37) 7.7(1.8) 0.1813
1.90(14)e+03 6572.81(51) 7.98(57) 5.3(2.2) 0.214
380(66) 7844.56(81) 5.01(88) 3.2(1.5) 0.5774
247(72) 8576.4(1.6) 5.9(1.7) 5.0(1.4) 0.8251
1332(96) 9828.40(56) 8.45(61) 5.0(1.3) 0.2697
364(89) 10409.7(1.9) 9.2(2.2) 3.0(1.3) 0.7735
661(87) 10453.83(99) 8.6(1.1) 4.9(1.3) 0.4993
561(92) 12085.5(1.5) 10.5(1.7) 4.0(1.1) 0.6781
7.24(19)e+03 15758.86(22) 9.46(24) 1.7(2.5) 0.0414
