Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
7.970(19)e+04 1312.769(13) 4.982(13) 111.5(2.9) 0.0006
17083(69) 2639.037(23) 5.431(24) 48.84(96) 0.0018
946(48) 3191.18(31) 6.16(33) 35.53(71) 0.1755
4.387(13)e+04 3713.470(17) 5.812(18) 31.9(1.9) 0.0007
207(38) 3554.35(83) 4.86(91) 32.05(89) 0.6012
1326(43) 3967.26(20) 6.09(21) 24.28(65) 0.0791
3121(47) 4434.628(94) 6.173(98) 24.04(68) 0.0191
4199(50) 4789.108(77) 6.366(81) 23.75(72) 0.0124
452(32) 5272.73(48) 6.75(51) 23.10(47) 0.2955
379(38) 6084.55(61) 6.07(64) 27.38(59) 0.4478
414(37) 6324.39(50) 5.72(54) 24.11(66) 0.3411
204(42) 7281.5(1.2) 7.7(1.4) 21.52(79) 0.6045
433(46) 7321.23(52) 6.51(63) 19.7(1.0) 0.2417
704(35) 7430.10(30) 6.64(33) 19.26(64) 0.1076
86(22) 7693.23(81) 3.19(86) 21.20(63) 0.7633
295(49) 7762.1(1.1) 7.8(1.2) 21.40(83) 0.5642
10343(84) 8403.804(56) 7.498(61) 17.4(1.3) 0.0039
270(35) 8744.97(85) 7.58(96) 16.48(57) 0.463
2929(62) 9358.69(15) 7.56(16) 19.69(93) 0.0273
9428(69) 10401.745(57) 8.038(61) 10.53(87) 0.0046
435(26) 10845.67(44) 8.06(48) 7.68(39) 0.178
5846(72) 11716.119(83) 8.347(96) 11.0(1.2) 0.0065
1040(46) 11758.22(31) 8.55(36) 7.04(73) 0.0729
7640(63) 11999.159(68) 8.431(73) 8.78(73) 0.0066
736(32) 13087.25(36) 9.21(39) 5.27(41) 0.1116
754(20) 14017.97(23) 9.12(25) 1.79(25) 0.0526
9567(62) 15192.416(62) 9.337(65) 1.28(55) 0.0063
191(21) 15726.28(90) 9.4(1.0) 0.37(28) 0.43
