Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
1.484(64)e+04 119.92(27) 11.49(39) 6.9(9.8) 0.0422
6.84(48)e+03 162.09(65) 18.9(1.0) 61.7(4.3) 0.0665
1.58(87)e+04 285.8(4.4) 35.0(9.9) 31(47) 0.0932
1.648(21)e+05 390.27(29) 33.13(37) 191.0(9.9) 0.0183
1.093(12)e+05 1122.87(30) 52.76(44) 107.8(3.7) 0.0123
2.88(12)e+04 2149.4(1.3) 104.6(2.8) 55.3(2.2) 0.1206
6.814(76)e+04 3000.51(66) 126.6(1.1) 35.2(1.1) 0.0239
1.84(29)e+04 3679.2(6.5) 304(24) 21.5(2.1) 0.5233
1.072(59)e+04 6571.6(4.2) 204.9(7.9) 19.40(54) 0.3903
8.67(81)e+03 8046.3(4.8) 225(13) 11.87(72) 0.4726
2.286(61)e+04 9137.4(3.1) 327.6(5.8) 3.14(36) 0.1741
1.301(30)e+04 11600.5(4.0) 365.2(6.3) 0.23(15) 0.2381
