[s],CH2[V]
-5.900E-08,-4.000E-16
-5.880E-08,-4.000E-16
-5.860E-08,-4.000E-16
-5.840E-08,-4.000E-16
-5.820E-08,-4.000E-16
-5.800E-08,-4.000E-16
-5.780E-08,-2.000E-02
-5.760E-08,-2.000E-02
-5.740E-08,-2.000E-02
-5.720E-08,-4.000E-16
-5.700E-08,-4.000E-16
-5.680E-08,-2.000E-02
-5.660E-08,-2.000E-02
-5.640E-08,-2.000E-02
-5.620E-08,-4.000E-16
-5.600E-08,-4.000E-16
-5.580E-08,-4.000E-16
-5.560E-08,-4.000E-16
-5.540E-08,-2.000E-02
-5.520E-08,-2.000E-02
-5.500E-08,-2.000E-02
-5.480E-08,-4.000E-16
-5.460E-08,-4.000E-16
-5.440E-08,-4.000E-16
-5.420E-08,-4.000E-16
-5.400E-08,-4.000E-16
-5.380E-08,-2.000E-02
-5.360E-08,-2.000E-02
-5.340E-08,-2.000E-02
-5.320E-08,-4.000E-16
-5.300E-08,-4.000E-16
-5.280E-08,2.000E-02
-5.260E-08,2.000E-02
-5.240E-08,2.000E-02
-5.220E-08,2.000E-02
-5.200E-08,2.000E-02
-5.180E-08,2.000E-02
-5.160E-08,2.000E-02
-5.140E-08,2.000E-02
-5.120E-08,-4.000E-16
-5.100E-08,-4.000E-16
-5.080E-08,-4.000E-16
-5.060E-08,-4.000E-16
-5.040E-08,-4.000E-16
-5.020E-08,-4.000E-16
-5.000E-08,-2.000E-02
-4.980E-08,-2.000E-02
-4.960E-08,-2.000E-02
-4.940E-08,-4.000E-16
-4.920E-08,2.000E-02
-4.900E-08,2.000E-02
-4.880E-08,-4.000E-16
-4.860E-08,-4.000E-16
-4.840E-08,-4.000E-16
-4.820E-08,-4.000E-16
-4.800E-08,-2.000E-02
-4.780E-08,-4.000E-02
-4.760E-08,-4.000E-02
-4.740E-08,-2.000E-02
-4.720E-08,2.000E-02
-4.700E-08,2.000E-02
-4.680E-08,-4.000E-16
-4.660E-08,-2.000E-02
-4.640E-08,-4.000E-02
-4.620E-08,-2.000E-02
-4.600E-08,-2.000E-02
-4.580E-08,-2.000E-02
-4.560E-08,-2.000E-02
-4.540E-08,-2.000E-02
-4.520E-08,-2.000E-02
-4.500E-08,-2.000E-02
-4.480E-08,-4.000E-16
-4.460E-08,-4.000E-16
-4.440E-08,-4.000E-16
-4.420E-08,-2.000E-02
-4.400E-08,-2.000E-02
-4.380E-08,-2.000E-02
-4.360E-08,-4.000E-16
-4.340E-08,2.000E-02
-4.320E-08,2.000E-02
-4.300E-08,-4.000E-16
-4.280E-08,-4.000E-16
-4.260E-08,-4.000E-16
-4.240E-08,2.000E-02
-4.220E-08,4.000E-02
-4.200E-08,4.000E-02
-4.180E-08,2.000E-02
-4.160E-08,-4.000E-16
-4.140E-08,-4.000E-16
-4.120E-08,-4.000E-16
-4.100E-08,-4.000E-16
-4.080E-08,-2.000E-02
-4.060E-08,-2.000E-02
-4.040E-08,-2.000E-02
-4.020E-08,-4.000E-16
-4.000E-08,2.000E-02
-3.980E-08,2.000E-02
-3.960E-08,2.000E-02
-3.940E-08,2.000E-02
-3.920E-08,-4.000E-16
-3.900E-08,-4.000E-16
-3.880E-08,-4.000E-16
-3.860E-08,-4.000E-16
-3.840E-08,-4.000E-16
-3.820E-08,-4.000E-16
-3.800E-08,-2.000E-02
-3.780E-08,-4.000E-02
-3.760E-08,-4.000E-02
-3.740E-08,-2.000E-02
-3.720E-08,2.000E-02
-3.700E-08,2.000E-02
-3.680E-08,-4.000E-16
-3.660E-08,-2.000E-02
-3.640E-08,-2.000E-02
-3.620E-08,-4.000E-16
-3.600E-08,2.000E-02
-3.580E-08,-4.000E-16
-3.560E-08,-4.000E-16
-3.540E-08,-2.000E-02
-3.520E-08,-2.000E-02
-3.500E-08,-2.000E-02
-3.480E-08,-4.000E-16
-3.460E-08,-4.000E-16
-3.440E-08,-4.000E-16
-3.420E-08,2.000E-02
-3.400E-08,2.000E-02
-3.380E-08,2.000E-02
-3.360E-08,2.000E-02
-3.340E-08,2.000E-02
-3.320E-08,2.000E-02
-3.300E-08,-4.000E-16
-3.280E-08,-4.000E-16
-3.260E-08,-2.000E-02
-3.240E-08,-2.000E-02
-3.220E-08,2.000E-02
-3.200E-08,4.000E-02
-3.180E-08,4.000E-02
-3.160E-08,2.000E-02
-3.140E-08,-4.000E-16
-3.120E-08,-2.000E-02
-3.100E-08,-4.000E-16
-3.080E-08,-4.000E-16
-3.060E-08,2.000E-02
-3.040E-08,2.000E-02
-3.020E-08,-4.000E-16
-3.000E-08,-2.000E-02
-2.980E-08,-2.000E-02
-2.960E-08,-2.000E-02
-2.940E-08,-2.000E-02
-2.920E-08,-2.000E-02
-2.900E-08,-2.000E-02
-2.880E-08,-2.000E-02
-2.860E-08,-4.000E-16
-2.840E-08,-4.000E-16
-2.820E-08,-4.000E-16
-2.800E-08,-2.000E-02
-2.780E-08,-2.000E-02
-2.760E-08,-2.000E-02
-2.740E-08,-2.000E-02
-2.720E-08,-4.000E-16
-2.700E-08,-4.000E-16
-2.680E-08,-4.000E-16
-2.660E-08,-4.000E-16
-2.640E-08,-4.000E-16
-2.620E-08,-4.000E-16
-2.600E-08,-2.000E-02
-2.580E-08,-4.000E-02
-2.560E-08,-4.000E-02
-2.540E-08,-4.000E-02
-2.520E-08,-4.000E-16
-2.500E-08,-4.000E-16
-2.480E-08,-4.000E-16
-2.460E-08,-4.000E-16
-2.440E-08,-4.000E-16
-2.420E-08,-4.000E-16
-2.400E-08,-2.000E-02
-2.380E-08,-2.000E-02
-2.360E-08,-2.000E-02
-2.340E-08,-4.000E-16
-2.320E-08,2.000E-02
-2.300E-08,2.000E-02
-2.280E-08,-4.000E-16
-2.260E-08,-2.000E-02
-2.240E-08,-2.000E-02
-2.220E-08,-4.000E-16
-2.200E-08,-4.000E-16
-2.180E-08,-4.000E-16
-2.160E-08,-4.000E-16
-2.140E-08,-4.000E-16
-2.120E-08,2.000E-02
-2.100E-08,2.000E-02
-2.080E-08,-4.000E-16
-2.060E-08,-4.000E-16
-2.040E-08,-4.000E-16
-2.020E-08,-4.000E-16
-2.000E-08,-4.000E-16
-1.980E-08,-4.000E-16
-1.960E-08,-4.000E-16
-1.940E-08,2.000E-02
-1.920E-08,2.000E-02
-1.900E-08,-4.000E-16
-1.880E-08,-2.000E-02
-1.860E-08,-2.000E-02
-1.840E-08,-4.000E-16
-1.820E-08,2.000E-02
-1.800E-08,2.000E-02
-1.780E-08,-4.000E-16
-1.760E-08,-2.000E-02
-1.740E-08,-2.000E-02
-1.720E-08,2.000E-02
-1.700E-08,2.000E-02
-1.680E-08,2.000E-02
-1.660E-08,-4.000E-16
-1.640E-08,-4.000E-16
-1.620E-08,-4.000E-16
-1.600E-08,-4.000E-16
-1.580E-08,-4.000E-16
-1.560E-08,-4.000E-16
-1.540E-08,-4.000E-16
-1.520E-08,-2.000E-02
-1.500E-08,-2.000E-02
-1.480E-08,-4.000E-02
-1.460E-08,-2.000E-02
-1.440E-08,-4.000E-16
-1.420E-08,2.000E-02
-1.400E-08,2.000E-02
-1.380E-08,-4.000E-16
-1.360E-08,-4.000E-16
-1.340E-08,2.000E-02
-1.320E-08,4.000E-02
-1.300E-08,2.000E-02
-1.280E-08,-2.000E-02
-1.260E-08,-4.000E-02
-1.240E-08,-6.000E-02
-1.220E-08,-2.000E-02
-1.200E-08,-4.000E-16
-1.180E-08,-4.000E-16
-1.160E-08,-4.000E-16
-1.140E-08,-4.000E-16
-1.120E-08,-4.000E-16
-1.100E-08,-4.000E-16
-1.080E-08,-4.000E-16
-1.060E-08,-4.000E-16
-1.040E-08,-4.000E-16
-1.020E-08,-4.000E-16
-1.000E-08,-4.000E-16
-9.800E-09,-2.000E-02
-9.600E-09,-2.000E-02
-9.400E-09,-2.000E-02
-9.200E-09,2.000E-02
-9.000E-09,2.000E-02
-8.800E-09,2.000E-02
-8.600E-09,2.000E-02
-8.400E-09,2.000E-02
-8.200E-09,2.000E-02
-8.000E-09,2.000E-02
-7.800E-09,2.000E-02
-7.600E-09,-4.000E-16
-7.400E-09,-2.000E-02
-7.200E-09,-2.000E-02
-7.000E-09,-2.000E-02
-6.800E-09,-4.000E-16
-6.600E-09,-4.000E-16
-6.400E-09,-4.000E-16
-6.200E-09,2.000E-02
-6.000E-09,2.000E-02
-5.800E-09,-4.000E-16
-5.600E-09,-4.000E-16
-5.400E-09,-4.000E-16
-5.200E-09,-4.000E-16
-5.000E-09,-4.000E-16
-4.800E-09,-4.000E-16
-4.600E-09,-4.000E-16
-4.400E-09,-4.000E-16
-4.200E-09,-4.000E-16
-4.000E-09,-4.000E-16
-3.800E-09,2.000E-02
-3.600E-09,-4.000E-16
-3.400E-09,-2.000E-02
-3.200E-09,-2.000E-02
