I_H / mA&I_C / A&$<j>$ / $Akg^{-1}$\\
\hline
0.0&$ \num{1.620(38)e-07}$&$ \num{0.001081(26)}$\\
0.1&$ \num{3.310(67)e-06}$&$ \num{0.02208(46)}$\\
0.2&$ \num{6.35(16)e-06}$&$ \num{0.0424(11)}$\\
0.3&$ \num{9.30(27)e-06}$&$ \num{0.0620(19)}$\\
0.4&$ \num{1.230(27)e-05}$&$ \num{0.0820(18)}$\\
0.5&$ \num{1.530(37)e-05}$&$ \num{0.1021(25)}$\\
0.6&$ \num{1.820(47)e-05}$&$ \num{0.1214(32)}$\\
0.7&$ \num{2.100(65)e-05}$&$ \num{0.1401(44)}$\\
0.8&$ \num{2.370(62)e-05}$&$ \num{0.1581(42)}$\\
0.9&$ \num{2.650(57)e-05}$&$ \num{0.1768(39)}$\\
1.0&$ \num{2.800(64)e-05}$&$ \num{0.1868(44)}$\\
\hline
