U_H / V&I_C / A&<j> / $Akg^{-1}$\\
\hline
0.0&$ \num{1.620(34)e-10}$&$ \num{7.22(67)e-10}$\\
2500.0&$ \num{1.630(34)e-10}$&$ \num{7.27(67)e-10}$\\
5000.0&$ \num{2.600(72)e-10}$&$ \num{1.16(11)e-09}$\\
7500.0&$ \num{1.110(37)e-09}$&$ \num{4.95(47)e-09}$\\
10000.0&$ \num{2.850(58)e-09}$&$ \num{1.27(12)e-08}$\\
12500.0&$ \num{5.30(13)e-09}$&$ \num{2.36(22)e-08}$\\
15000.0&$ \num{8.00(19)e-09}$&$ \num{3.57(33)e-08}$\\
17500.0&$ \num{1.080(54)e-08}$&$ \num{4.81(50)e-08}$\\
20000.0&$ \num{1.400(34)e-08}$&$ \num{6.24(58)e-08}$\\
22500.0&$ \num{1.700(60)e-08}$&$ \num{7.58(73)e-08}$\\
25000.0&$ \num{2.000(64)e-08}$&$ \num{8.91(85)e-08}$\\
27500.0&$ \num{2.300(68)e-08}$&$ \num{1.025(97)e-07}$\\
30000.0&$ \num{2.590(65)e-08}$&$ \num{1.15(11)e-07}$\\
32500.0&$ \num{2.800(69)e-08}$&$ \num{1.25(12)e-07}$\\
\hline
