I_E / mA&Zählrate / $s^{-1}$\\
\hline
0.01&$ \num{3053(55)}$\\
0.02&$ \num{4455(67)}$\\
0.03&$ \num{5586(75)}$\\
0.04&$ \num{6759(82)}$\\
0.05&$ \num{7937(89)}$\\
0.06&$ \num{8873(94)}$\\
0.07&$ \num{9378(97)}$\\
0.08&$ \num{9652(98)}$\\
0.09&$ \num{9864(99)}$\\
0.1&$ \num{1.002(10)e+04}$\\
0.11&$ \num{1.017(10)e+04}$\\
0.12&$ \num{1.026(10)e+04}$\\
0.14&$ \num{1.038(10)e+04}$\\
0.16&$ \num{1.046(10)e+04}$\\
0.18&$ \num{1.048(10)e+04}$\\
0.2&$ \num{1.048(10)e+04}$\\
0.3&$ \num{1.033(10)e+04}$\\
0.4&$ \num{1.023(10)e+04}$\\
0.5&$ \num{1.022(10)e+04}$\\
0.6&$ \num{1.026(10)e+04}$\\
0.7&$ \num{1.032(10)e+04}$\\
0.8&$ \num{1.040(10)e+04}$\\
0.9&$ \num{1.045(10)e+04}$\\
1.0&$ \num{1.054(10)e+04}$\\
\hline
