I_H / mA&I_C / A&$<j>$ / $Akg^{-1}$\\
\hline
0.0&$ \num{3.050(79)e-08}$&$ \num{0.0002034(54)}$\\
0.1&$ \num{6.80(17)e-07}$&$ \num{0.00454(12)}$\\
0.2&$ \num{1.300(33)e-06}$&$ \num{0.00867(22)}$\\
0.3&$ \num{1.950(63)e-06}$&$ \num{0.01301(43)}$\\
0.4&$ \num{2.550(71)e-06}$&$ \num{0.01701(49)}$\\
0.5&$ \num{3.180(81)e-06}$&$ \num{0.02121(55)}$\\
0.6&$ \num{3.780(91)e-06}$&$ \num{0.02521(62)}$\\
0.7&$ \num{4.42(10)e-06}$&$ \num{0.02948(70)}$\\
0.8&$ \num{5.00(11)e-06}$&$ \num{0.03335(77)}$\\
0.9&$ \num{5.62(12)e-06}$&$ \num{0.03749(85)}$\\
1.0&$ \num{5.78(13)e-06}$&$ \num{0.03855(87)}$\\
\hline
