I_H / mA&I_C / A&$<j>$ / $Akg^{-1}$\\
\hline
0.0&$ \num{1.150(23)e-06}$&$ \num{0.00767(16)}$\\
0.1&$ \num{1.470(29)e-06}$&$ \num{0.00981(20)}$\\
0.2&$ \num{1.790(36)e-06}$&$ \num{0.01194(25)}$\\
0.3&$ \num{2.120(42)e-06}$&$ \num{0.01414(29)}$\\
0.4&$ \num{2.450(49)e-06}$&$ \num{0.01634(34)}$\\
0.5&$ \num{2.780(56)e-06}$&$ \num{0.01854(39)}$\\
0.6&$ \num{3.100(62)e-06}$&$ \num{0.02068(43)}$\\
0.7&$ \num{3.400(68)e-06}$&$ \num{0.02268(47)}$\\
0.8&$ \num{3.720(74)e-06}$&$ \num{0.02481(52)}$\\
0.9&$ \num{4.010(80)e-06}$&$ \num{0.02675(56)}$\\
1.0&$ \num{4.370(87)e-06}$&$ \num{0.02915(61)}$\\
\hline
